index,unit2_pos,unit1_beam_32,unit1_beam_64
1,"[0.024630036325310453, 0.9502164501035991]",30,60
2,"[0.034605201047269926, 0.9469696968962938]",31,60
3,"[0.04435459043211527, 0.9437229435351914]",30,58
4,"[0.05387820447984651, 0.9404761903278861]",30,59
5,"[0.06319656822243616, 0.9372294369667837]",30,60
6,"[0.0722891566279117, 0.9350649350849087]",29,57
7,"[0.08140227006535979, 0.9329004327416424]",30,59
8,"[0.09673446768005313, 0.928571428516501]",29,57
9,"[0.10420557870553646, 0.9253246751553986]",28,55
10,"[0.1115535395391845, 0.9242424241375625]",28,55
11,"[0.11877835019558117, 0.9220779219480933]",28,55
12,"[0.1258594856427539, 0.9199134199124213]",28,55
13,"[0.13281747091267526, 0.9177489175691549]",28,55
14,"[0.139898606359848, 0.9166666665513188]",28,55
15,"[0.1466718663420164, 0.9145021643618496]",28,55
16,"[0.15336302621087855, 0.9134199133440135]",26,51
17,"[0.1599720859664344, 0.9123376620185832]",27,54
18,"[0.16649904559410006, 0.9101731601367082]",26,51
19,"[0.17294390509387553, 0.9090909091188722]",26,51
20,"[0.17928613944837216, 0.9080086581010361]",26,51
21,"[0.18556679870695114, 0.9069264067756059]",26,51
22,"[0.19162168264299995, 0.9058441557577698]",26,51
23,"[0.19769709161102128, 0.9058441557577698]",25,52
24,"[0.20379302559643123, 0.9047619045861366]",25,49
25,"[0.2098889595818412, 0.9047619045861366]",25,49
26,"[0.21596436854986253, 0.9036796535683006]",25,49
27,"[0.22811518647132129, 0.9025974025504645]",24,48
28,"[0.23419059543934262, 0.9015151512250342]",24,47
29,"[0.24010180415158355, 0.9015151512250342]",24,48
30,"[0.24701873935755983, 0.9004329002071981]",24,46
31,"[0.25393567456353605, 0.8993506491893621]",23,45
32,"[0.2608526097549284, 0.898268398171526]",23,45
33,"[0.26776954496090466, 0.8971861473074871]",23,45
34,"[0.27468648016688096, 0.8961038959820569]",23,45
35,"[0.2816034153728572, 0.8950216449642208]",23,45
36,"[0.2886640257880574, 0.8939393936387905]",22,44
37,"[0.2948010098374124, 0.8928571426209544]",22,43
38,"[0.3009379938867675, 0.8917748917569155]",22,42
39,"[0.3070749779361226, 0.8906926404314852]",22,44
40,"[0.3132324870174502, 0.8896103894136491]",22,42
41,"[0.31936947106680524, 0.8885281383958131]",21,42
42,"[0.32552698014813286, 0.887445887377977]",20,39
43,"[0.3316844892294605, 0.8863636363601409]",20,39
44,"[0.3377188481335367, 0.8852813851885077]",20,39
45,"[0.3438968822468369, 0.8841991341706718]",20,39
46,"[0.3500543913281645, 0.8820346318274054]",20,39
