index,unit1_rgb,unit1_beam_32,unit1_beam_64
1774,../../../Scenario5/unit1/camera_data/image_BS1_7018_03_34_56.jpg,11,21
2150,../../../Scenario5/unit1/camera_data/image_BS1_9473_03_40_14.jpg,6,11
1265,../../../Scenario5/unit1/camera_data/image_BS1_4871_03_30_21.jpg,22,42
57,../../../Scenario5/unit1/camera_data/image_BS1_317_03_20_38.jpg,17,34
1085,../../../Scenario5/unit1/camera_data/image_BS1_4369_03_29_16.jpg,28,54
112,../../../Scenario5/unit1/camera_data/image_BS1_571_03_21_11.jpg,2,3
2117,../../../Scenario5/unit1/camera_data/image_BS1_9298_03_39_51.jpg,11,20
826,../../../Scenario5/unit1/camera_data/image_BS1_3612_03_27_40.jpg,26,51
1246,../../../Scenario5/unit1/camera_data/image_BS1_4852_03_30_19.jpg,19,34
1315,../../../Scenario5/unit1/camera_data/image_BS1_5107_03_30_51.jpg,25,48
1118,../../../Scenario5/unit1/camera_data/image_BS1_4588_03_29_45.jpg,26,52
1130,../../../Scenario5/unit1/camera_data/image_BS1_4601_03_29_46.jpg,22,44
1230,../../../Scenario5/unit1/camera_data/image_BS1_4836_03_30_17.jpg,15,29
1045,../../../Scenario5/unit1/camera_data/image_BS1_4329_03_29_11.jpg,9,17
286,../../../Scenario5/unit1/camera_data/image_BS1_1038_03_22_11.jpg,13,26
584,../../../Scenario5/unit1/camera_data/image_BS1_2578_03_25_28.jpg,17,33
1673,../../../Scenario5/unit1/camera_data/image_BS1_6541_03_33_55.jpg,26,51
1747,../../../Scenario5/unit1/camera_data/image_BS1_6853_03_34_35.jpg,5,9
196,../../../Scenario5/unit1/camera_data/image_BS1_655_03_21_21.jpg,22,43
368,../../../Scenario5/unit1/camera_data/image_BS1_1302_03_22_45.jpg,23,46
1745,../../../Scenario5/unit1/camera_data/image_BS1_6851_03_34_35.jpg,6,11
48,../../../Scenario5/unit1/camera_data/image_BS1_308_03_20_37.jpg,19,37
1760,../../../Scenario5/unit1/camera_data/image_BS1_7004_03_34_54.jpg,2,3
1744,../../../Scenario5/unit1/camera_data/image_BS1_6850_03_34_35.jpg,7,14
