index,unit1_rgb,unit1_beam_32,unit1_beam_64
1,../../../Scenario6/unit1/camera_data/image268_20_20_21.jpg,4,6
2,../../../Scenario6/unit1/camera_data/image269_20_20_21.jpg,2,4
3,../../../Scenario6/unit1/camera_data/image270_20_20_21.jpg,3,5
4,../../../Scenario6/unit1/camera_data/image271_20_20_21.jpg,3,5
5,../../../Scenario6/unit1/camera_data/image272_20_20_21.jpg,3,6
6,../../../Scenario6/unit1/camera_data/image273_20_20_22.jpg,4,7
7,../../../Scenario6/unit1/camera_data/image274_20_20_22.jpg,4,8
8,../../../Scenario6/unit1/camera_data/image275_20_20_22.jpg,4,4
9,../../../Scenario6/unit1/camera_data/image276_20_20_22.jpg,4,7
10,../../../Scenario6/unit1/camera_data/image277_20_20_22.jpg,4,8
11,../../../Scenario6/unit1/camera_data/image278_20_20_22.jpg,5,9
12,../../../Scenario6/unit1/camera_data/image279_20_20_22.jpg,4,8
13,../../../Scenario6/unit1/camera_data/image280_20_20_22.jpg,4,7
14,../../../Scenario6/unit1/camera_data/image281_20_20_23.jpg,5,9
15,../../../Scenario6/unit1/camera_data/image282_20_20_23.jpg,5,9
16,../../../Scenario6/unit1/camera_data/image283_20_20_23.jpg,5,8
17,../../../Scenario6/unit1/camera_data/image284_20_20_23.jpg,4,6
18,../../../Scenario6/unit1/camera_data/image285_20_20_23.jpg,5,9
19,../../../Scenario6/unit1/camera_data/image286_20_20_23.jpg,5,9
20,../../../Scenario6/unit1/camera_data/image287_20_20_23.jpg,6,10
21,../../../Scenario6/unit1/camera_data/image288_20_20_23.jpg,6,10
22,../../../Scenario6/unit1/camera_data/image289_20_20_24.jpg,6,11
23,../../../Scenario6/unit1/camera_data/image290_20_20_24.jpg,6,10
24,../../../Scenario6/unit1/camera_data/image291_20_20_24.jpg,6,11
25,../../../Scenario6/unit1/camera_data/image292_20_20_24.jpg,6,11
26,../../../Scenario6/unit1/camera_data/image293_20_20_24.jpg,6,11
27,../../../Scenario6/unit1/camera_data/image294_20_20_24.jpg,6,11
28,../../../Scenario6/unit1/camera_data/image295_20_20_24.jpg,6,11
29,../../../Scenario6/unit1/camera_data/image296_20_20_24.jpg,7,14
30,../../../Scenario6/unit1/camera_data/image297_20_20_25.jpg,7,14
31,../../../Scenario6/unit1/camera_data/image298_20_20_25.jpg,7,14
32,../../../Scenario6/unit1/camera_data/image299_20_20_25.jpg,8,14
33,../../../Scenario6/unit1/camera_data/image300_20_20_25.jpg,8,15
34,../../../Scenario6/unit1/camera_data/image301_20_20_25.jpg,8,15
35,../../../Scenario6/unit1/camera_data/image302_20_20_25.jpg,8,15
36,../../../Scenario6/unit1/camera_data/image303_20_20_25.jpg,8,16
37,../../../Scenario6/unit1/camera_data/image304_20_20_25.jpg,9,17
38,../../../Scenario6/unit1/camera_data/image305_20_20_26.jpg,9,17
39,../../../Scenario6/unit1/camera_data/image306_20_20_26.jpg,9,17
40,../../../Scenario6/unit1/camera_data/image307_20_20_26.jpg,10,18
41,../../../Scenario6/unit1/camera_data/image308_20_20_26.jpg,10,18
42,../../../Scenario6/unit1/camera_data/image309_20_20_26.jpg,10,19
43,../../../Scenario6/unit1/camera_data/image310_20_20_26.jpg,10,20
44,../../../Scenario6/unit1/camera_data/image311_20_20_26.jpg,11,21
45,../../../Scenario6/unit1/camera_data/image312_20_20_26.jpg,11,20
46,../../../Scenario6/unit1/camera_data/image313_20_20_27.jpg,11,21
47,../../../Scenario6/unit1/camera_data/image314_20_20_27.jpg,11,21
48,../../../Scenario6/unit1/camera_data/image661_20_21_11.jpg,30,59
49,../../../Scenario6/unit1/camera_data/image662_20_21_11.jpg,30,59
50,../../../Scenario6/unit1/camera_data/image663_20_21_11.jpg,30,60
51,../../../Scenario6/unit1/camera_data/image664_20_21_11.jpg,30,59
52,../../../Scenario6/unit1/camera_data/image665_20_21_11.jpg,29,57
53,../../../Scenario6/unit1/camera_data/image666_20_21_11.jpg,30,58
54,../../../Scenario6/unit1/camera_data/image667_20_21_12.jpg,29,57
