index,unit2_pos,unit1_beam_32,unit1_beam_64
275,"[0.8987761590943881, 0.9049520767579122]",3,8
674,"[0.407841901137602, 0.691693290762566]",15,30
143,"[0.8187673879979613, 0.6469648561888727]",5,8
332,"[0.11610728137925967, 0.18051118206239003]",30,60
881,"[0.6563652061904153, 0.0439297123493691]",9,14
188,"[0.20596982197554, 0.9808306709294187]",24,46
900,"[0.33861882769160717, 0.09424920147178449]",21,41
292,"[0.5393534063332592, 0.1405750800401052]",11,22
844,"[0.46352460701966647, 0.6453674123077505]",12,24
112,"[0.5527978401207062, 0.6653354632621403]",11,20
648,"[0.1669521838697102, 0.7060702875087493]",25,48
835,"[0.29875149040455506, 0.6533546327349086]",19,36
126,"[0.665958584023763, 0.6557507988403549]",7,14
877,"[0.7248893335380833, 0.04472843457369327]",6,10
588,"[0.41529732619615994, 0.04233226835474168]",15,30
229,"[0.5210300546841269, 0.9456869010045212]",12,22
511,"[0.7543272986469063, 0.6765175719055636]",6,10
95,"[0.4133375361477338, 0.6765175719055636]",15,28
502,"[0.6786629572330741, 0.6884984024327955]",7,14
815,"[0.1007030575531243, 0.1485623004672632]",30,59
740,"[0.7541902503906139, 0.08067092649590435]",5,8
7,"[0.8052133156171659, 0.04552715657100698]",4,8
574,"[0.518083517207924, 0.025559105503111933]",11,22
18,"[0.7264379788176324, 0.04872204490077751]",5,9
705,"[0.692751517812436, 0.670926517583852]",7,12
429,"[0.07867940302305018, 0.7436102236525983]",29,57
350,"[0.8918689270512616, 0.9361022363557254]",5,9
321,"[0.2404511628555466, 0.1613418529918087]",25,49
36,"[0.5963243658088911, 0.06948881785248104]",8,16
487,"[0.550879164561827, 0.7076677317303872]",11,20
312,"[0.3338358436064053, 0.14776357824293904]",20,39
458,"[0.31294968958700325, 0.7236421725847033]",20,38
529,"[0.9087121575538598, 0.6589456868296097]",3,6
853,"[0.6258993791740065, 0.6325878594426894]",8,12
637,"[0.0690449107196313, 0.711661341830461]",29,57
74,"[0.24298655557261034, 0.6884984024327955]",21,42
633,"[0.0341661298973507, 0.7164536741548589]",30,59
35,"[0.6036290377845538, 0.06789137374434838]",8,15
190,"[0.22264859456863983, 0.9784345048239723]",23,45
4,"[0.826510614395707, 0.04552715657100698]",3,5
415,"[0.1847684569734821, 0.40974440913906285]",26,51
266,"[0.8174517247609258, 0.9145367411796977]",5,9
234,"[0.5600202831464886, 0.9424920126747508]",11,20
603,"[0.3046582701835639, 0.05830670932256295]",21,42
118,"[0.6023270793643832, 0.6613418531620665]",9,18
66,"[0.17499691641377088, 0.691693290762566]",25,49
510,"[0.7458851261605716, 0.6781150160136963]",6,10
376,"[0.6935601025138491, 0.38019169330886665]",8,14
3,"[0.833554894685388, 0.04632587868182592]",3,5
601,"[0.31950059616766474, 0.05670926532793553]",20,39
664,"[0.3094823687485749, 0.6956869009761449]",20,38
176,"[0.11769704112888, 0.9936102237944798]",26,51
484,"[0.5290473775847194, 0.7108626198331474]",11,21
550,"[0.7098140255212068, 0.005591054208206429]",6,11
308,"[0.37533405512288676, 0.14217252392122737]",19,36
722,"[0.8580591226261137, 0.6565495208376686]",4,7
208,"[0.3599435361233544, 0.9640575080777889]",18,34
602,"[0.3120862855889158, 0.05750798732524924]",21,40
872,"[0.8116545835850032, 0.04952076689809122]",4,8
485,"[0.536310935080573, 0.7100638978358336]",11,21
898,"[0.37310016857161377, 0.08706070292843496]",19,38
149,"[0.8694478325886513, 0.64217252397798]",4,7
539,"[0.7993476503082282, 0.0015974441081326495]",3,6
14,"[0.7551495881749225, 0.04552715657100698]",5,9
259,"[0.7593295599382808, 0.9209265176122283]",7,12
155,"[0.9186755656665376, 0.6365814696562683]",2,4
383,"[0.6028067482565376, 0.3841853036359509]",10,20
819,"[0.04047034960889568, 0.6645367412648266]",29,57
765,"[0.5358997903214339, 0.09664536735022039]",11,21
593,"[0.37856839393827735, 0.04792332267645334]",17,32
91,"[0.38159716036436053, 0.6781150160136963]",17,32
528,"[0.8999821837283374, 0.6605431309377424]",2,4
693,"[0.5809749612891678, 0.6781150160136963]",9,18
901,"[0.32173448271893773, 0.09824281157185827]",22,42
680,"[0.46203078103679157, 0.687699680548987]",14,26
195,"[0.2626255704685161, 0.9744408944968881]",21,42
263,"[0.7918785204328052, 0.9177316295094682]",6,8
9,"[0.7909602971283056, 0.04552715657100698]",4,7
57,"[0.08461359244552719, 0.6948881789788313]",28,55
405,"[0.3169103841539268, 0.40095846648758066]",21,42
475,"[0.4486411665557566, 0.7196485623711243]",14,27
522,"[0.8483286965364737, 0.6653354632621403]",4,8
764,"[0.5442186193780792, 0.09664536735022039]",11,20
481,"[0.5031041429675308, 0.7140575080494126]",12,23
85,"[0.3331231926814754, 0.6813099042299616]",18,35
757,"[0.602998615819242, 0.09185303513932767]",9,16
412,"[0.2282675730181988, 0.40734824280660603]",25,50
598,"[0.3417435279039115, 0.053514376998165]",19,38
474,"[0.4405827291850929, 0.7196485623711243]",14,28
60,"[0.1092548686425453, 0.6948881789788313]",27,54
606,"[0.2823194046708339, 0.06150159742532302]",23,42
387,"[0.5455616922780587, 0.38658146974139723]",11,22
644,"[0.13173078241156766, 0.7108626198331474]",26,51
662,"[0.29169350528827115, 0.6964856229734587]",20,39
219,"[0.44374854386746837, 0.954472843428993]",14,28
372,"[0.7431578658905413, 0.3777955273169255]",6,11
672,"[0.3898474652977287, 0.6924920127598797]",17,32
571,"[0.5401482862178072, 0.022364217286846635]",10,20
449,"[0.24221908534126835, 0.7260383385766445]",23,42
483,"[0.5217701152622629, 0.711661341830461]",11,22
373,"[0.7308098181436952, 0.37859424931423924]",6,11
206,"[0.3448545232798749, 0.9656549520724164]",18,36
679,"[0.45291707210533605, 0.6884984024327955]",14,27
82,"[0.3087423081704389, 0.683706070335408]",19,38
181,"[0.1536722079917615, 0.9856230032538166]",25,50
465,"[0.3685501665191875, 0.7204472842549328]",17,32
530,"[0.9174695410325883, 0.6581469648322961]",3,4
249,"[0.6787451861829544, 0.9313099042583379]",8,14
747,"[0.6869543766365135, 0.0854632588203023]",6,11
867,"[0.9038332396824368, 0.6078274761639015]",2,3
203,"[0.3223511998576465, 0.9680511181778627]",19,38
585,"[0.437279866246425, 0.03913738025198161]",15,28
839,"[0.37652637493997093, 0.6517571885132707]",15,29
687,"[0.5257171050025834, 0.682907348224589]",11,22
386,"[0.5598969397167992, 0.38578274774408355]",11,21
51,"[0.03602998615955572, 0.6972843450842776]",30,59
496,"[0.6252415475554887, 0.6972843450842776]",9,17
611,"[0.24485041183481535, 0.06629392974972097]",24,47
102,"[0.4684309345345577, 0.6725239618054899]",13,25
711,"[0.749722477288068, 0.6669329072567678]",6,11
315,"[0.3026847753085347, 0.15095846645920433]",22,42
725,"[0.8914303726389164, 0.6533546327349086]",3,6
817,"[0.012635849086033877, 0.666134185259454]",30,59
758,"[0.5945975578029784, 0.09185303513932767]",9,17
810,"[0.14358545643965653, 0.14536741213749266]",29,57
192,"[0.23949182507123803, 0.9768370608293448]",23,44
434,"[0.11777927007876027, 0.7396166135525245]",26,52
367,"[0.8051036770043417, 0.374600638987155]",5,8
482,"[0.5124508339414999, 0.7132587860520989]",12,24
887,"[0.555346937664373, 0.05511182110629765]",11,21
160,"[0.0, 1.0]",31,60
851,"[0.5891841517427269, 0.6357827476589546]",8,15
351,"[0.904682938863659, 0.9353035143584116]",4,6
355,"[0.9577343182619144, 0.9321086262556516]",4,7
538,"[0.8073375635556147, 0.0015974441081326495]",4,7
885,"[0.588855235933468, 0.04952076689809122]",10,20
812,"[0.12645442460760847, 0.14696485624562533]",29,57
341,"[0.7675387504015777, 0.9456869010045212]",6,10
595,"[0.36387682102733404, 0.050319488895404926]",18,35
48,"[0.012197294663950798, 0.700479233300543]",30,59
547,"[0.7340304521227449, 0.004792332210892719]",5,10
615,"[0.2145901571979761, 0.06948881785248104]",26,51
20,"[0.7121575506755661, 0.04952076689809122]",6,10
714,"[0.7782696287358597, 0.6645367412648266]",5,9
310,"[0.3546260638395861, 0.14456869014017895]",19,37
196,"[0.270039881047265, 0.9736421724995744]",21,41
396,"[0.43060561624581206, 0.3929712460604226]",16,32
413,"[0.21376786766995992, 0.40894568691473865]",27,53
582,"[0.45915276769360375, 0.03514376992489737]",14,26
61,"[0.11751887840251646, 0.6940894569815176]",26,51
224,"[0.4821220551813834, 0.9512779553262329]",13,25
242,"[0.6230076610042157, 0.9369009585800495]",9,17
256,"[0.7350994285101398, 0.9241214058284936]",7,13
798,"[0.24644017158443568, 0.13258785949944193]",25,48
269,"[0.8455877314398405, 0.9105431310796239]",5,8
905,"[0.25955568956262387, 0.11182108632072794]",25,48
734,"[0.8049118094513752, 0.07667731639583057]",4,6
440,"[0.17216001754065427, 0.7332268371199939]",25,49
727,"[0.9137829429782495, 0.650159744405138]",3,4
245,"[0.6468266476634797, 0.9345047922475928]",9,17
542,"[0.775076404410016, 0.0023961663324568185]",4,6
874,"[0.7767620979361196, 0.04792332267645334]",5,10
182,"[0.16088094618120297, 0.984025559145684]",25,50
795,"[0.27219153863891987, 0.1285942491723577]",24,46
861,"[0.7763509531769804, 0.6182108626965059]",5,8
86,"[0.3412090397053451, 0.6805111820056374]",18,35
239,"[0.5992297888150229, 0.938498402574677]",10,19
658,"[0.2559924349379743, 0.6988817890789051]",22,42
319,"[0.2611454493122442, 0.15814696488904864]",24,47
908,"[0.21642660380697512, 0.12140575074251339]",26,51
668,"[0.34897967574655897, 0.6932907349842039]",18,34
520,"[0.8310606164481333, 0.6669329072567678]",5,8
161,"[0.006742774133628064, 1.0]",30,59
202,"[0.3148683651556204, 0.9688498404021869]",19,38
811,"[0.1350199405236325, 0.1461661342483116]",29,58
912,"[0.15938712020806592, 0.13338658149675564]",29,57
609,"[0.2599120150250888, 0.0638977636442746]",23,45
849,"[0.5528800690803244, 0.6389776357617147]",9,17
531,"[0.9260624666018183, 0.6565495208376686]",3,5
108,"[0.5167130346644763, 0.6685303514784057]",11,20
50,"[0.028081187391978315, 0.6980830670815913]",30,60
409,"[0.26627105404304585, 0.40575079881197856]",24,47
122,"[0.6339852261978762, 0.659744409053934]",8,15
663,"[0.3006016418401571, 0.6964856229734587]",20,38
109,"[0.5257308098194485, 0.6677316294810919]",11,21
818,"[0.026436608335945896, 0.6653354632621403]",30,59
517,"[0.8054051831701324, 0.6701277955865382]",5,9
17,"[0.7335918977103997, 0.04792332267645334]",4,6
